"Ramsar Site No.","Site name","Region","Country","Territory","Designation date","Last publication date","Area (ha)","Latitude","Longitude","Annotated summary","Criterion1","Criterion2","Criterion3","Criterion4","Criterion5","Criterion6","Criterion7","Criterion8","Criterion9","Wetland Type","Maximum elevation","Minimum elevation","Montreux listed","Management plan implemented","Management plan available","Ecosystem services","Threats","large administrative region","Global international legal designations","Regional international legal designations","National conservation designation","Does the wetland extend onto the territory of one or more other countries?","Ramsar Advisory Mission?"
"2495","Yashwant Sagar ","Asia","India","","2022-01-07","2022-10-31","822.9","22.8039658769332","75.69574511880811","<p>This freshwater reservoir was built in the Gambhir river basin in the 1930s to provide irrigation and drinking water to the Indore region. In more recent years, it has been also used for commercial aquaculture. This wetland is designated as an Important Bird and Biodiversity Area (IBA) and is one of the most important birdwatching sites in the region. When the water recedes in the winter, the wetland provides nesting, breeding, and foraging habitats for a large number of migratory birds including the vulnerable sarus crane (<em>Grus antigone</em>). Overall, it supports around 239 bird species and 39 species of fish along with other plants and mammals. The wetland plays a vital role in maintaining the hydrological regime of the area and is also known for its beauty, attracting thousands of tourists every year. It is also valued for scientific research.</p>","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Human-made wetlands, 6: Water storage areas/Reservoirs","556","556","No","No","No","Provisioning Services, Fresh water, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity","Human settlements (non agricultural), Housing and urban areas, Water regulation, Drainage, Water abstraction, Agriculture & aquaculture, Livestock farming and ranching, Transportation and service corridors, Roads and railroads, Biological resource use, Fishing and harvesting aquatic resources, Logging and wood harvesting, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Dams and water management/use, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Climate change & severe weather, Temperature extremes, Storms and flooding","District Indore, Madhya Pradesh","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2471","Nanda Lake","Asia","India","","2022-06-08","2022-08-03","42.01","15.2368726496096","74.107499427506","<p>Nanda Lake comprises intermittent freshwater marshes that lie adjacent to one of the major tributaries of the Zuari River. They are linked to the adjacent river channel by a sluice gate, which when closed enables the flooding of the marshes. This wetland supports a wide variety of migratory waterbirds and many other important plants and animals. Notable bird species include black-headed ibis (<em>Threskiornis melanocephalus</em>), common kingfisher (<em>Alcedo atthis</em>), wire-tailed swallow (<em>Hirundo smithii</em>), bronze-winged jacana (<em>Metopidius indicus</em>), brahminy kite (<em>Haliastur indus</em>), intermediate egret (<em>Ardea intermedia</em>), little cormorant (<em>Microcarbo niger</em>) and lesser whistling duck (<em>Dendrocygna javanica</em>). The Site enables local communities to store water during the off-monsoon season, to cultivate rice paddies downstream of the lake and support fishing and recreation. The lake also protects downstream areas from monsoon floods. Threats include invasive non-native species, garbage and solid waste, overfishing, and harvesting of aquatic resources. However, there is no management plan to address these issues.</p>","Yes","Yes","Yes","No","No","No","No","No","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils","","","No","No","No","Provisioning Services, Fresh water, Food for humans, Wetland non-food products, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Biological control of pests and disease, Hazard reduction, Cultural Services, Spiritual and inspirational, Supporting Services, Biodiversity","Human settlements (non agricultural), Housing and urban areas, Water regulation, Canalisation and river regulation, Biological resource use, Fishing and harvesting aquatic resources, Natural system modifications, Dams and water management/use, Invasive and other problematic species and genes, Problematic native species, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Garbage and solid waste, Climate change & severe weather, Storms and flooding","Quepem municipality, Village Quepem, Quepem Taluka, South Goa, Goa, India","","","","No","No"
"2492","Suchindram Theroor Wetland Complex","Asia","India","","2022-04-08","2022-10-31","94.229","8.150836938571221","77.45403470409551","<p>The Site is part of the Suchindram-Theroor Manakudi Conservation Reserve and lies at the southern tip of the Central Asian Flyway. The Wetland Complex lies at the point of the Kodaiyar river drainage system where water stored in the Perunchanidam, Pechipparai&nbsp;and Kodaiyar reservoirs is released into a channel which drains thousands of ponds. The wetland comprises two man-made reservoirs, Theroor and Suchindram, that provide irrigation and habitat for wetland birds. It is an Important Bird and Biodiversity Area (IBA); around 250 species of birds have been recorded, of which 53 are migratory, 12 endemic, and four threatened. The presence of at least 183 plant and animal species enables the reservoirs to provide crucial staging and foraging grounds for the birds. The extensive irrigation system was built and monitored from the ninth century, and supports the livelihoods of about 75% of the population of the wetland&rsquo;s communities.</p>","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","30","30","No","Yes","Yes","Provisioning Services, Fresh water, Food for humans, Regulating Services, Maintenance of hydrological regimes, Climate regulation, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling","Pollution, Agricultural and forestry effluents, Household sewage, urban waste water, Garbage and solid waste, Human settlements (non agricultural), Housing and urban areas, Water regulation, Drainage, Water releases, Agriculture & aquaculture, Annual and perennial non-timber crops, Livestock farming and ranching, Biological resource use, Gathering terrestrial plants, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Invasive and other problematic species and genes, Invasive non-native/ alien species, Climate change & severe weather, Droughts, Storms and flooding","Commonly known as Suchindrum Eri & Theroor kulam; located at Kanniyakumari Dist. of Tamil Nadu State; is a Protected Area; declared as Conservation Reserve as per Sec 36 A of Wild Life Protection Act 1972; Env.& Forest Dept.,G.O.(Ms)No.41, Dated:19.3.2015","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2496","Hygam Wetland Conservation Reserve ","Asia","India","","2022-06-08","2022-10-31","801.8200000000001","34.2402573265366","74.52687794722431","<p>The Hygam wetland lies downstream of another Ramsar Site (Wular Lake, <a target=""_blank"" href=""https://rsis.ramsar.org/ris/461"">Site no.461</a>), with which it is connected, and forms an important site for biodiversity conservation. It lies on the Central Asian Flyway and over 40,000 migratory and resident bird species have been recorded annually. The wetland also supports mammals, amphibians, and fish including Eurasian otter (<em>Lutra lutra</em>), common carp (<em>Cyprinus carpio</em>) and common pochard (<em>Aythya ferina</em>). The wetland is located within the Jhelum river basin and plays a significant role in flood control, aquifer recharge, and regulating water flow of the Wular Lake. This wetland provides local communities with a range of &ldquo;ecosystem services&rdquo;, providing fish, wood and clean water, and regulating the local climate. However, it is increasingly threatened by continuous siltation, willow plantations and nutrient accumulation. To tackle these issues, the government of Jammu and Kashmir has been implementing an integrated management action plan since 2002.</p>","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils","1580","1579","No","No","In preparation","Supporting Services, Nutrient cycling, Biodiversity, Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Scientific and educational","Human settlements (non agricultural), Unspecified development, Water regulation, Drainage, Canalisation and river regulation, Water abstraction, Agriculture & aquaculture, Wood and pulp plantations, Annual and perennial non-timber crops, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Unspecified/others, Pollution, Household sewage, urban waste water, Garbage and solid waste, Climate change & severe weather, Habitat shifting and alteration","The wetland is 40 km from Srinagar, the UT summer capital and located in district Baramulla (34015'N, 74031’E) of Jammu & Kashmir on the flood plains of river Jhelum at an altitudinal height of 1580 m asl.","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2488","Shallbugh Wetland Conservation Reserve","Asia","India","","2022-06-08","2022-10-31","1675","34.1614168624533","74.72820253649191","<p>Shallbugh Wetland Conservation Reserve lies west of Anchar Lake in the Sindh river delta. This shallow wetland is primarily fed by rainfall, snowmelt from the Kashmir Himalayas, and stream water flowing from the Sindh river and Anchar Lake. It lies close to another Ramsar Site, Hokera Wetland (<a target=""_blank"" href=""https://rsis.ramsar.org/ris/1570"">Site no.1570</a>) and together they form an important aquatic habitat in this region. It features extensive reed beds and floating aquatic vegetation which provide important habitat for over 21 species of resident and migratory birds. Many of the birds are in threatened, including the endangered steppe eagle (<em>Aquila nipalensis</em>), Pallas&rsquo;s fish-eagle (<em>Haliaeetus leucoryphus</em>) and black-bellied tern (<em>Sterna acuticauda</em>), and the vulnerable eastern imperial eagle (<em>Aquila heliaca</em>), yellow-eyed pigeon (<em>Columba eversmanni</em>) and wood snipe (<em>Gallinago nemoricola</em>). Some of these species are also endemic to the wetland. The wetland supports fisheries, provides clean water, regulates flooding, and acts as a carbon sink. Excessive siltation is the biggest problem threatening the Site&rsquo;s ecological characteristics.</p>","Yes","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, P: Seasonal/ intermittent freshwater lakes","1581","1580","No","No","Yes","Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Pollution control and detoxification, Climate regulation, Cultural Services, Recreation and tourism, Scientific and educational, Supporting Services, Biodiversity, Nutrient cycling, Pollination","Natural system modifications, Vegetation clearance/ land conversion, Unspecified/others, Pollution, Household sewage, urban waste water, Climate change & severe weather, Habitat shifting and alteration, Water regulation, Canalisation and river regulation, Drainage, Water abstraction, Human settlements (non agricultural), Unspecified development, Agriculture & aquaculture, Annual and perennial non-timber crops, Wood and pulp plantations, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Unspecified/others","The wetland is 18 km from Srinagar, the UT summer capital and located in district Srinagar and District Ganderbal of Jammu & Kashmir on the flood plains of river Jhelum at an altitudinal height of 1580 m asl. 34° 9.663'N 74° 43.457'E","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2490","Thane Creek","Asia","India","","2022-04-13","2022-10-31","6521.08","19.1086647491617","72.9650512590088","<p>The Site is one of the largest creeks of Asia and hosts many birds migrating on the Central Asian Flyway. As a sanctuary for flamingos and other important bird species, it is in the list of Important Bird and Biodiversity Areas (IBAs). Thane Creek falls under the Marine Ecoregions of the World (MEOW) but is fed by numerous freshwater sources, making the water brackish. Its mangrove forests provide nurseries for several fish species, sustaining the local fisheries, and also act as a natural buffer against floods, cyclones and seawater intrusions, enhancing the resilience of surrounding areas to such climate-related hazards. The Creek features a rich biodiversity of birds, fish, crustaceans, molluscs, butterflies, and floral species, some of which are threatened, such as the vulnerable Sulawesi fruit bat (<em>Acerodon celebensis</em>), Mozambique tilapia (<em>Oreochromis mossambicus</em>) and river tern (<em>Sterna aurantia</em>), and the endangered great knot (<em>Calidris tenuirostris</em>).</p>","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Marine or coastal wetlands, I: Intertidal forested wetlands","5","0","No","Yes","Yes","Regulating Services, Maintenance of hydrological regimes, Erosion protection, Pollution control and detoxification, Climate regulation, Hazard reduction, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Pollination, Nutrient cycling, Provisioning Services, Food for humans","Human settlements (non agricultural), Tourism and recreation areas, Housing and urban areas, Commercial and industrial areas, Unspecified development, Water regulation, Drainage, Water abstraction, Salinisation, Water releases, Agriculture & aquaculture, Marine and freshwater aquaculture, Biological resource use, Fishing and harvesting aquatic resources, Transportation and service corridors, Roads and railroads, Shipping lanes, Aircraft flight paths, Utility and service lines (e.g., pipelines), Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Pollution, Household sewage, urban waste water, Industrial and military effluents, Garbage and solid waste, Invasive and other problematic species and genes, Invasive non-native/ alien species, Geological events, Unspecified, Climate change & severe weather, Storms and flooding, Habitat shifting and alteration","The site lies in the Thane, Mumbai and Mumbai Suburban district of Maharashtra State","Overlapping site categories, Global international legal and other formal, Other global designation","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2475","Vellode Bird Sanctuary","Asia","India","","2022-04-08","2022-08-03","77.185","11.2518550745562","77.6519079026874","<p>This human-made tank is an ideal habitat for birds, due to the abundant food resources it provides from neighbouring agricultural fields, and other aquatic organisms. It is an important staging and breeding ground for migratory birds on the Central Asian Flyway and also resident species such as the Indian river tern (<em>Sterna aurantia</em>), oriental darter (<em>Anhinga melanogaster</em>) and painted stork (<em>Mycteria leucocephala</em>). The Site is also an ideal habitat for notable plant species including <em>Cayratia pedata</em>, <em>Tephrosia purpurea </em>and<em> Commelina tricolor. </em>This Site provides drinking water and fish to local communities, and the farmers from the fringe villages enjoy enhanced crop yields with the arrival of a large number of birds, as the irrigation water is enriched by bird droppings. Although classified as a Bird Sanctuary by the national authorities, the Site is threatened by household sewage, urban waste water, vegetation clearance, land conversion and invasive non-native species. There is a management plan available, but it is yet to be implemented.</p>","No","Yes","Yes","No","Yes","No","No","No","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Human-made wetlands, 6: Water storage areas/Reservoirs","160","140","No","No","Yes","Provisioning Services, Food for humans, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Hazard reduction, Biological control of pests and disease, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Pollination","Human settlements (non agricultural), Housing and urban areas, Water regulation, Drainage, Water abstraction, Salinisation, Water releases, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Garbage and solid waste, Climate change & severe weather, Habitat shifting and alteration, Droughts, Temperature extremes, Storms and flooding","Declared Bird Sanctuary under Section 26(1) of Wildlife Protection Act 1972 (Central Act 53) in G.O.Ms.No.44, Environment& Forests (FRV) Dept. dated 29.2.2000 in Tamil Nadu Gazette.","","","","No","No"
"2477","Vedanthangal Bird Sanctuary ","Asia","India","","2022-04-08","2022-08-03","40.348","12.5464912899531","79.85601889772509","<p>A small irrigation tank in Vedanthangal village surrounded by rocky plains and low-ridged, denuded hillocks, this Site is an Important Bird and Biodiversity Area (IBA) due to the presence of several species including the black-headed ibis (<em>Threskiornis melanocephalus</em>), Eurasian spoonbill (<em>Platalea leucorodia</em>), black-crowned night heron (<em>Nycticorax nycticorax</em>) and painted stork (<em>Mycteria leucocephala</em>). Vedanthangal is well known for nature tourism, which generates considerable revenue for the local communities. The Sanctuary also provides educational and research opportunities. The wetland also plays a vital role in nutrient cycling and groundwater recharge, which supports irrigation activities in the immediate vicinity. Although the Site has been a Bird Sanctuary since 1998 and a management plan is being implemented, housing and uncontrolled aquatic resource harvesting are some of the significant threats.</p>","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Marine or coastal wetlands, I: Intertidal forested wetlands","122","23","No","Yes","Yes","Supporting Services, Soil formation, Nutrient cycling, Pollination, Biodiversity, Cultural Services, Recreation and tourism, Spiritual and inspirational, Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Biological control of pests and disease, Hazard reduction","Human settlements (non agricultural), Commercial and industrial areas, Housing and urban areas, Agriculture & aquaculture, Annual and perennial non-timber crops, Biological resource use, Fishing and harvesting aquatic resources","Maduranthagam Taluk of Chengalpattu District","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2440","Sur Sarovar ","Asia","India","","2020-08-21","2020-11-11","431","27.2518752511827","77.8402663842209","<p>Sur Sarovar, also known as Keetham Lake, is a human-made reservoir; originally created to supply water to the city of Agra in summer, the wetland soon became an important and rich ecosystem. The Site&rsquo;s patchwork of different habitat types provides refuge to resident and migratory birds, and more than 60 species of fish. Threatened species include the vulnerable greater spotted eagle (<em>Clanga clanga</em>), sarus crane (<em>Grus antigone</em>) and catfish <em>Wallago attu</em>. The Site is important for bird species which migrate on the Central Asian flyway, with over 30,000 waterbirds known to visit the reservoir annually. Over 1% of the South Asian regional population of the greylag goose (<em>Anser anser</em>) is present. Unsustainable tourism, invasive species, and household sewage and urban wastewater present significant threats to the Site.</p>","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","176","166","No","Yes","Yes","Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Hazard reduction, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity","Human settlements (non agricultural), Tourism and recreation areas, Agriculture & aquaculture, Livestock farming and ranching, Annual and perennial non-timber crops, Biological resource use, Logging and wood harvesting, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Unspecified/others, Invasive and other problematic species and genes, Invasive non-native/ alien species, Water regulation, Drainage, Water releases, Pollution, Household sewage, urban waste water","The wetland is located on Delhi-Mathura highway (National Highway-2), in Agra district, Uttar Pradesh","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2457","Sultanpur National Park","Asia","India","","2021-05-25","2021-08-06","142.52","28.4652659466123","76.892162598666","<p>This shallow lake at the core of the Sultanpur National Park is fed by the overflow from neighbouring canals and fields, and replenished by saline groundwater. The lake features seasonal aquatic vegetation and is dotted with artificial islands; the Park also includes open grasslands. In 2010, the Ministry of Environment, Forests and Climate Change declared the area within five kilometres of the Park as an eco-sensitive zone. The wetland harbours a rich plant and animal life: it supports more than 220 species of resident, winter migratory and local migratory waterbirds at critical stages of their life cycles. More than ten of these are globally threatened, including the critically endangered sociable lapwing (<em>Vanellus gregarius</em>), and the endangered Egyptian vulture (<em>Neophron percnopterus</em>), saker falcon (<em>Falco cherrug</em>), Pallas&rsquo;s fish eagle (<em>Haliaeetus leucoryphus</em>) and black-bellied tern (<em>Sterna acuticauda</em>). The Site regularly supports more than 7% of the biogeographic population of bar-headed goose (<em>Anser indicus</em>) and more than 8% of the biogeographic population of greylag goose (<em>Anser anser</em>). The ecosystem services offered by the Sultanpur National Park include nutrient cycling, recreation and tourism and scientific and educational activities.</p>","No","Yes","No","Yes","Yes","Yes","No","No","No","Inland wetlands, P: Seasonal/ intermittent freshwater lakes","225","214","No","No","No","Regulating Services, Climate regulation, Maintenance of hydrological regimes, Supporting Services, Biodiversity, Nutrient cycling, Cultural Services, Recreation and tourism, Scientific and educational, Spiritual and inspirational","Invasive and other problematic species and genes, Invasive non-native/ alien species, Water regulation, Drainage, Energy production and mining, Mining and quarrying, Pollution, Agricultural and forestry effluents, Human settlements (non agricultural), Housing and urban areas, Human intrusions & disturbance, Recreational and tourism activities","Gurugram, Haryana","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2480","Karikili Bird Sanctuary ","Asia","India","","2022-04-08","2022-07-25","58.442","12.598929845085","79.8424197215527","<p>The Karikili Bird Sanctuary comprises two rain-fed non-perennial irrigation tanks spreading over an area of more than 58 hectares. The Site is flat or gently undulating and lies near low ridged, rocky hillocks. Rainfall varies greatly from year to year, from 400 mm to almost 1,700 mm, flooding the Site in the monsoon months from July to September. The vegetation is mainly composed of <em>Barringtonia acutangula</em> and <em>Acacia nilotica </em>trees, raised as plantations by the Forest Department. Surrounding vegetation is composed of scrub and thorn. The Site provides habitat for a variety of resident and migratory birds, most of them waterbirds, as well as a few species of scavengers. The near-threatened oriental darter (<em>Anhinga melanogaster</em>) and spot-billed pelican (<em>Pelecanus philippensis</em>) breed here. The wetland also supports several mammal, reptile and amphibian species such as the jungle cat, bonnet macaque, jackal, python, sand boa and frogs. The Karikili Bird Sanctuary has a history of people cooperating in protecting waterbirds, as their guano enables the supply of nutrient-enriched water to crop fields. The Site was declared a Birds Sanctuary in 1972 and a management plan is currently being implemented to safeguard the biodiversity of the Site as well as the ecosystem services provided to the local communities.</p>","No","No","Yes","Yes","No","Yes","Yes","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","100","23","No","Yes","Yes","Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Biological control of pests and disease, Hazard reduction, Cultural Services, Recreation and tourism, Spiritual and inspirational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Pollination","Invasive and other problematic species and genes, Invasive non-native/ alien species, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Agriculture & aquaculture, Annual and perennial non-timber crops, Biological resource use, Fishing and harvesting aquatic resources","Partly Maduranthagam Taluk, Chengalpattu District & partly Kancheepuram District","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2486","Kanjirankulam Bird Sanctuary","Asia","India","","2022-04-08","2022-10-31","96.89100000000001","9.35973056165742","78.479065972257","<p>Kanjirankulam Bird Sanctuary is a nationally protected area and a notable nesting site for several migratory heron species. It is dominated by sub-tropical forests of babul (<em>Acacia nilotica</em>) that provide habitat for endemic and migratory birds including near-threatened species such as painted stork (<em>Mycteria leucocephala</em>), spot-billed pelican (<em>Pelecanus philippensis</em>), oriental darter (<em>Anhinga melanogaster</em>)&nbsp;and oriental white ibis (<em>Threskiornis melanocephalus</em>). Recent growth of invasive <em>Prosopis</em> trees has affected the growth of the indigenous babul populations, threatening the habitat of these birds. Besides its rich biodiversity, the wetland supports the adjacent ecosystems and communities by providing irrigation, flood control, and erosion control. It is culturally important to the local communities, who are known to protect the birds from poaching and other threats. The wetland is sensitive to climate changes which heavily influence the seasonal variability of the water level.</p>","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Inland wetlands, Xf: Freshwater, tree-dominated wetlands","70","30","No","No","Yes","Provisioning Services, Fresh water, Wetland non-food products, Regulating Services, Maintenance of hydrological regimes, Climate regulation, Erosion protection, Cultural Services, Recreation and tourism, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling","Water regulation, Water abstraction, Drainage, Water releases, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Logging and wood harvesting, Gathering terrestrial plants, Human intrusions & disturbance, Unspecified/others, Climate change & severe weather, Droughts, Temperature extremes, Storms and flooding, Transportation and service corridors, Unspecified, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Excess heat, sound, light, Unspecified, Human settlements (non agricultural), Unspecified development","Peraiyur Panchayat, Mudukulathur Taluk, Ramanathapuram District, Tamilnadu, India","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2407","Nangal Wildlife Sanctuary","Asia","India","","2019-09-26","2020-02-01","116","31.396275298627","76.37129634987031","<p>Located in the Shiwalik foothills of Punjab is the highly eco-sensitive Nangal Wildlife Sanctuary, which supports abundant flora and fauna including threatened species, such as the endangered Indian pangolin (<em>Manis crassicaudata</em>) and Egyptian vulture (<em>Neophron percnopterus</em>) and the vulnerable leopard (<em>Panthera pardus</em>). It occupies a human-made reservoir constructed as part of the Bhakra-Nangal Project in 1961. The site is of historic importance as the Indian and Chinese Prime Ministers formalized the &ldquo;Five Principles of Peaceful Coexistence&rdquo; there in 1954. More than half a million people downstream benefit from the reservoir as the flow of water is regulated, reducing the risks to both people and property from&nbsp;floods. The Department of Forests and Wildlife Preservation (Rupnagar Wildlife Division), Punjab is responsible for managing the Sanctuary.</p>","No","Yes","Yes","No","No","No","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs, Inland wetlands, M: Permanent rivers/ streams/ creeks","330","326","No","No","No","Provisioning Services, Fresh water, Wetland non-food products, Food for humans, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity, Pollination","Human settlements (non agricultural), Housing and urban areas, Tourism and recreation areas, Water regulation, Canalisation and river regulation, Agriculture & aquaculture, Annual and perennial non-timber crops, Biological resource use, Gathering terrestrial plants, Logging and wood harvesting, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Dams and water management/use, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Garbage and solid waste","Rupnagar","","","","No","No"
"2412","Nawabganj Bird Sanctuary","Asia","India","","2019-09-19","2020-02-01","224.6","26.6137485636928","80.65495285112949","<p>A shallow marshland 45 kilometres from Lucknow in Uttar Pradesh. Monsoon rains feed this diverse wetland while the Sarda Canal supplies additional water. The Sanctuary supports recreation and tourism activities as well as local biodiversity. It is a haven for birds, with 25,000 waterbirds regularly recorded and 220 resident and migratory species documented. Among these are globally threatened species including the endangered Egyptian vulture (<em>Neophron percnopterus</em>) and Pallas&rsquo;s fish eagle (<em>Haliaeetus leucoryphus</em>) as well as the vulnerable lesser adjutant (<em>Leptoptilos javanicus</em>) and woolly-necked stork (<em>Ciconia episcopus</em>). Protection and afforestation measures have helped increase the overall diversity of wildlife, with golden jackal (<em>Canis aureus</em>) and jungle cat (<em>Felis chaus</em>) now present. The highly invasive common water hyacinth (<em>Eichhornia crassipes</em>) poses a threat, as does the removal of timber from the forests. State forest officers along with the Office of the Conservator of Forest (Wildlife) jointly manage the Sanctuary.</p>","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils","113","110","No","Yes","Yes","Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity","Agriculture & aquaculture, Annual and perennial non-timber crops, Water regulation, Canalisation and river regulation, Invasive and other problematic species and genes, Invasive non-native/ alien species","Nawabganj Bird Sanctuary is situated in Hasanganj tehsil of Unnao district of Uttar Pradesh, India. It is about 50 Km from Lucknow on the Lucknow-Kanpur highway. It is 18 Km from district head quarter Unnao.","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2441"," Lonar Lake ","Asia","India","","2020-07-22","2020-11-11","427","19.9759398648529","76.5084129710679","<p>This wetland on the Deccan Plateau is an endorheic or closed basin, almost circular in shape, formed by a meteorite impact onto the basalt bedrock. The Site includes the lake as well as escarpments, which form the crater walls, and forested zones. The lake is high in salinity and alkalinity, as the lack of an outflow leads to a concentration of minerals as the lake water evaporates. Specialized micro-organisms such as anaerobes, cyanobacteria and phytoplankton survive in this harsh chemical environment. Outside the lake, there is considerable diversity of plant and animal life, as springs which help feed the lake provide a source of fresh water. Inhabiting the Site are 160 species of birds including the vulnerable Asian woollyneck (<em>Ciconia episcopus</em>) and common pochard (<em>Aythya ferina</em>), 46 species of reptiles, and 12 species of mammals including the iconic grey wolf (<em>Canis lupus</em>). Factors which threaten the site include household sewage and urban wastewater, and unsustainable tourism.</p>","Yes","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, Q: Permanent saline/ brackish/ alkaline lakes","488","481","No","Yes","Yes","Provisioning Services, Genetic materials, Biochemical products, Regulating Services, Climate regulation, Erosion protection, Maintenance of hydrological regimes, Cultural Services, Spiritual and inspirational, Recreation and tourism, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling","Water regulation, Drainage, Water releases, Transportation and service corridors, Roads and railroads, Human intrusions & disturbance, Recreational and tourism activities, Unspecified/others, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Tourism and recreation areas, Agriculture & aquaculture, Livestock farming and ranching, Climate change & severe weather, Droughts","Site lies in Buldhana district in the state of Maharashtra","","","","No","No"
